ID	Codepoints	Character	Remarks	Tags
753	U+26EA	⛪	church	Christian | church | cross | religion
721	U+26F0	⛰	mountain	mountain
914	U+26F1	⛱	umbrella on ground	rain | sun | umbrella | umbrella on ground
759	U+26F2	⛲	fountain	fountain
969	U+26F3	⛳	flag in hole	flag in hole | golf | hole
827	U+26F4	⛴	ferry	boat | ferry | passenger
823	U+26F5	⛵	sailboat	boat | resort | sailboat | sea | yacht
373	U+26F7	⛷	skier	ski | skier | snow
970	U+26F8	⛸	ice skate	ice | skate
387	U+26F9	⛹	person bouncing ball	ball | person bouncing ball
389	U+26F9 U+FE0F U+200D U+2640 U+FE0F	⛹️‍♀️	woman bouncing ball	ball | woman | woman bouncing ball
388	U+26F9 U+FE0F U+200D U+2642 U+FE0F	⛹️‍♂️	man bouncing ball	ball | man | man bouncing ball
760	U+26FA	⛺	tent	camping | tent
816	U+26FD	⛽	fuel pump	diesel | fuel | fuelpump | gas | pump | station
1172	U+2702	✂	scissors	cutting | scissors | tool
1341	U+2705	✅	check mark button	✓ | button | check | mark
830	U+2708	✈	airplane	aeroplane | airplane
1133	U+2709	✉	envelope	email | envelope | letter
170	U+270A	✊	raised fist	clenched | fist | hand | punch | raised fist
153	U+270B	✋	raised hand	hand | raised hand
157	U+270C	✌	victory hand	hand | v | victory
180	U+270D	✍	writing hand	hand | write | writing hand
1146	U+270F	✏	pencil	pencil
1147	U+2712	✒	black nib	black nib | nib | pen
1343	U+2714	✔	check mark	✓ | check | mark
1344	U+2716	✖	multiplication sign	× | cancel | multiplication | multiply | sign | x
1288	U+271D	✝	latin cross	Christian | cross | latin cross | religion
1285	U+2721	✡	star of David	David | Jew | Jewish | religion | star | star of David
928	U+2728	✨	sparkles	* | sparkle | sparkles | star
1353	U+2733	✳	eight-spoked asterisk	* | asterisk | eight-spoked asterisk
1354	U+2734	✴	eight-pointed star	* | eight-pointed star | star
916	U+2744	❄	snowflake	cold | snow | snowflake
1355	U+2747	❇	sparkle	* | sparkle
1345	U+274C	❌	cross mark	× | cancel | cross | mark | multiplication | multiply | x
1346	U+274E	❎	cross mark button	× | cross mark button | mark | square | x
1358	U+2753	❓	question mark	? | mark | punctuation | question
1359	U+2754	❔	white question mark	? | mark | outlined | punctuation | question | white question mark
1360	U+2755	❕	white exclamation mark	! | exclamation | mark | outlined | punctuation | white exclamation mark
1361	U+2757	❗	exclamation mark	! | exclamation | mark | punctuation
125	U+2763	❣	heart exclamation	exclamation | heart exclamation | mark | punctuation
127	U+2764	❤	red heart	heart | red heart
1347	U+2795	➕	plus sign	+ | math | plus | sign
1348	U+2796	➖	minus sign	- | − | math | minus | sign
1349	U+2797	➗	division sign	÷ | division | math | sign
1263	U+27A1	➡	right arrow	arrow | cardinal | direction | east | right arrow
1350	U+27B0	➰	curly loop	curl | curly loop | loop
1351	U+27BF	➿	double curly loop	curl | double | double curly loop | loop
1273	U+2934	⤴	right arrow curving up	arrow | right arrow curving up
1274	U+2935	⤵	right arrow curving down	arrow | down | right arrow curving down
1267	U+2B05	⬅	left arrow	arrow | cardinal | direction | left arrow | west
1261	U+2B06	⬆	up arrow	arrow | cardinal | direction | north | up arrow
1265	U+2B07	⬇	down arrow	arrow | cardinal | direction | down | south
1434	U+2B1B	⬛	black large square	black large square | geometric | square
1435	U+2B1C	⬜	white large square	geometric | square | white large square
893	U+2B50	⭐	star	star
