ID	Codepoints	Character	Remarks	Tags
1661	U+1F1F8 U+1F1EA	🇸🇪	flag: Sweden	flag
1662	U+1F1F8 U+1F1EC	🇸🇬	flag: Singapore	flag
1663	U+1F1F8 U+1F1ED	🇸🇭	flag: St. Helena	flag
1664	U+1F1F8 U+1F1EE	🇸🇮	flag: Slovenia	flag
1665	U+1F1F8 U+1F1EF	🇸🇯	flag: Svalbard & Jan Mayen	flag
1666	U+1F1F8 U+1F1F0	🇸🇰	flag: Slovakia	flag
1667	U+1F1F8 U+1F1F1	🇸🇱	flag: Sierra Leone	flag
1668	U+1F1F8 U+1F1F2	🇸🇲	flag: San Marino	flag
1669	U+1F1F8 U+1F1F3	🇸🇳	flag: Senegal	flag
1670	U+1F1F8 U+1F1F4	🇸🇴	flag: Somalia	flag
1671	U+1F1F8 U+1F1F7	🇸🇷	flag: Suriname	flag
1672	U+1F1F8 U+1F1F8	🇸🇸	flag: South Sudan	flag
1673	U+1F1F8 U+1F1F9	🇸🇹	flag: São Tomé & Príncipe	flag
1674	U+1F1F8 U+1F1FB	🇸🇻	flag: El Salvador	flag
1675	U+1F1F8 U+1F1FD	🇸🇽	flag: Sint Maarten	flag
1676	U+1F1F8 U+1F1FE	🇸🇾	flag: Syria	flag
1677	U+1F1F8 U+1F1FF	🇸🇿	flag: Eswatini	flag
1678	U+1F1F9 U+1F1E6	🇹🇦	flag: Tristan da Cunha	flag
1679	U+1F1F9 U+1F1E8	🇹🇨	flag: Turks & Caicos Islands	flag
1680	U+1F1F9 U+1F1E9	🇹🇩	flag: Chad	flag
1681	U+1F1F9 U+1F1EB	🇹🇫	flag: French Southern Territories	flag
1682	U+1F1F9 U+1F1EC	🇹🇬	flag: Togo	flag
1683	U+1F1F9 U+1F1ED	🇹🇭	flag: Thailand	flag
1684	U+1F1F9 U+1F1EF	🇹🇯	flag: Tajikistan	flag
1685	U+1F1F9 U+1F1F0	🇹🇰	flag: Tokelau	flag
1686	U+1F1F9 U+1F1F1	🇹🇱	flag: Timor-Leste	flag
1687	U+1F1F9 U+1F1F2	🇹🇲	flag: Turkmenistan	flag
1688	U+1F1F9 U+1F1F3	🇹🇳	flag: Tunisia	flag
1689	U+1F1F9 U+1F1F4	🇹🇴	flag: Tonga	flag
1690	U+1F1F9 U+1F1F7	🇹🇷	flag: Turkey	flag
1691	U+1F1F9 U+1F1F9	🇹🇹	flag: Trinidad & Tobago	flag
1692	U+1F1F9 U+1F1FB	🇹🇻	flag: Tuvalu	flag
1693	U+1F1F9 U+1F1FC	🇹🇼	flag: Taiwan	flag
1694	U+1F1F9 U+1F1FF	🇹🇿	flag: Tanzania	flag
1695	U+1F1FA U+1F1E6	🇺🇦	flag: Ukraine	flag
1696	U+1F1FA U+1F1EC	🇺🇬	flag: Uganda	flag
